symbol,company_name,isin,series,exchange_primary,nse_symbol,tags,bse_symbol,bse_code,paired_nse_symbol,include_flag,yahoo_ticker_ns,yahoo_ticker_bo,priority
360ONE,360 ONE WAM Ltd.,INE466L01038,EQ,NSE,360ONE,NIFTY500,,,,YES,360ONE.NS,,1
3MINDIA,3M India Ltd.,INE470A01017,EQ,NSE,3MINDIA,NIFTY500,,,,YES,3MINDIA.NS,,1
AADHARHFC,Aadhar Housing Finance Ltd.,INE883F01010,EQ,NSE,AADHARHFC,NIFTY500,,,,YES,AADHARHFC.NS,,1
AARTIIND,Aarti Industries Ltd.,INE769A01020,EQ,NSE,AARTIIND,NIFTY500,,,,YES,AARTIIND.NS,,1
AAVAS,Aavas Financiers Ltd.,INE216P01012,EQ,NSE,AAVAS,NIFTY500,,,,YES,AAVAS.NS,,1
ABB,ABB India Ltd.,INE117A01022,EQ,NSE,ABB,NIFTY500,,,,YES,ABB.NS,,1
ABBOTINDIA,Abbott India Ltd.,INE358A01014,EQ,NSE,ABBOTINDIA,NIFTY500,,,,YES,ABBOTINDIA.NS,,1
ABCAPITAL,Aditya Birla Capital Ltd.,INE674K01013,EQ,NSE,ABCAPITAL,NIFTY500,,,,YES,ABCAPITAL.NS,,1
ABDL,Allied Blenders and Distillers Ltd.,INE552Z01027,EQ,NSE,ABDL,NIFTY500,,,,YES,ABDL.NS,,1
ABFRL,Aditya Birla Fashion and Retail Ltd.,INE647O01011,EQ,NSE,ABFRL,NIFTY500,,,,YES,ABFRL.NS,,1
ABLBL,Aditya Birla Lifestyle Brands Ltd.,INE14LE01019,EQ,NSE,ABLBL,NIFTY500,,,,YES,ABLBL.NS,,1
ABREL,Aditya Birla Real Estate Ltd.,INE055A01016,EQ,NSE,ABREL,NIFTY500,,,,YES,ABREL.NS,,1
ABSLAMC,Aditya Birla Sun Life AMC Ltd.,INE404A01024,EQ,NSE,ABSLAMC,NIFTY500,,,,YES,ABSLAMC.NS,,1
ACC,ACC Ltd.,INE012A01025,EQ,NSE,ACC,NIFTY500,,,,YES,ACC.NS,,1
ACE,Action Construction Equipment Ltd.,INE731H01025,EQ,NSE,ACE,NIFTY500,,,,YES,ACE.NS,,1
ACMESOLAR,ACME Solar Holdings Ltd.,INE622W01025,EQ,NSE,ACMESOLAR,NIFTY500,,,,YES,ACMESOLAR.NS,,1
ACUTAAS,Acutaas Chemicals Ltd.,INE00FF01025,EQ,NSE,ACUTAAS,NIFTY500,,,,YES,ACUTAAS.NS,,1
ADANIENSOL,Adani Energy Solutions Ltd.,INE931S01010,EQ,NSE,ADANIENSOL,NIFTY500,,,,YES,ADANIENSOL.NS,,1
ADANIENT,Adani Enterprises Ltd.,INE423A01024,EQ,NSE,ADANIENT,"NIFTY50, NIFTY500",,,,YES,ADANIENT.NS,,1
ADANIGREEN,Adani Green Energy Ltd.,INE364U01010,EQ,NSE,ADANIGREEN,NIFTY500,,,,YES,ADANIGREEN.NS,,1
ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,INE742F01042,EQ,NSE,ADANIPORTS,"NIFTY50, NIFTY500, SENSEX",,,,YES,ADANIPORTS.NS,,1
ADANIPOWER,Adani Power Ltd.,INE814H01029,EQ,NSE,ADANIPOWER,NIFTY500,,,,YES,ADANIPOWER.NS,,1
AEGISLOG,Aegis Logistics Ltd.,INE208C01025,EQ,NSE,AEGISLOG,NIFTY500,,,,YES,AEGISLOG.NS,,1
AEGISVOPAK,Aegis Vopak Terminals Ltd.,INE0INX01018,EQ,NSE,AEGISVOPAK,NIFTY500,,,,YES,AEGISVOPAK.NS,,1
AFCONS,Afcons Infrastructure Ltd.,INE101I01011,EQ,NSE,AFCONS,NIFTY500,,,,YES,AFCONS.NS,,1
AFFLE,Affle 3i Ltd.,INE00WC01027,EQ,NSE,AFFLE,NIFTY500,,,,YES,AFFLE.NS,,1
AIAENG,AIA Engineering Ltd.,INE212H01026,EQ,NSE,AIAENG,NIFTY500,,,,YES,AIAENG.NS,,1
AIIL,Authum Investment & Infrastructure Ltd.,INE206F01022,EQ,NSE,AIIL,NIFTY500,,,,YES,AIIL.NS,,1
AJANTPHARM,Ajanta Pharmaceuticals Ltd.,INE031B01049,EQ,NSE,AJANTPHARM,NIFTY500,,,,YES,AJANTPHARM.NS,,1
ALKEM,Alkem Laboratories Ltd.,INE540L01014,EQ,NSE,ALKEM,NIFTY500,,,,YES,ALKEM.NS,,1
AMBER,Amber Enterprises India Ltd.,INE371P01015,EQ,NSE,AMBER,NIFTY500,,,,YES,AMBER.NS,,1
AMBUJACEM,Ambuja Cements Ltd.,INE079A01024,EQ,NSE,AMBUJACEM,NIFTY500,,,,YES,AMBUJACEM.NS,,1
ANANDRATHI,Anand Rathi Wealth Ltd.,INE463V01026,EQ,NSE,ANANDRATHI,NIFTY500,,,,YES,ANANDRATHI.NS,,1
ANANTRAJ,Anant Raj Ltd.,INE242C01024,EQ,NSE,ANANTRAJ,NIFTY500,,,,YES,ANANTRAJ.NS,,1
ANGELONE,Angel One Ltd.,INE732I01021,EQ,NSE,ANGELONE,NIFTY500,,,,YES,ANGELONE.NS,,1
ANTHEM,Anthem Biosciences Ltd.,INE0CZ201020,EQ,NSE,ANTHEM,NIFTY500,,,,YES,ANTHEM.NS,,1
ANURAS,Anupam Rasayan India Ltd.,INE930P01018,EQ,NSE,ANURAS,NIFTY500,,,,YES,ANURAS.NS,,1
APARINDS,Apar Industries Ltd.,INE372A01015,EQ,NSE,APARINDS,NIFTY500,,,,YES,APARINDS.NS,,1
APLAPOLLO,APL Apollo Tubes Ltd.,INE702C01027,EQ,NSE,APLAPOLLO,NIFTY500,,,,YES,APLAPOLLO.NS,,1
APOLLOHOSP,Apollo Hospitals Enterprise Ltd.,INE437A01024,EQ,NSE,APOLLOHOSP,"NIFTY50, NIFTY500",,,,YES,APOLLOHOSP.NS,,1
APOLLOTYRE,Apollo Tyres Ltd.,INE438A01022,EQ,NSE,APOLLOTYRE,NIFTY500,,,,YES,APOLLOTYRE.NS,,1
APTUS,Aptus Value Housing Finance India Ltd.,INE852O01025,EQ,NSE,APTUS,NIFTY500,,,,YES,APTUS.NS,,1
ARE&M,Amara Raja Energy & Mobility Ltd.,INE885A01032,EQ,NSE,ARE&M,NIFTY500,,,,YES,ARE&M.NS,,1
ASAHIINDIA,Asahi India Glass Ltd.,INE439A01020,EQ,NSE,ASAHIINDIA,NIFTY500,,,,YES,ASAHIINDIA.NS,,1
ASHOKLEY,Ashok Leyland Ltd.,INE208A01029,EQ,NSE,ASHOKLEY,NIFTY500,,,,YES,ASHOKLEY.NS,,1
ASIANPAINT,Asian Paints Ltd.,INE021A01026,EQ,NSE,ASIANPAINT,"NIFTY50, NIFTY500, SENSEX",,,,YES,ASIANPAINT.NS,,1
ASTERDM,Aster DM Healthcare Ltd.,INE914M01019,EQ,NSE,ASTERDM,NIFTY500,,,,YES,ASTERDM.NS,,1
ASTRAL,Astral Ltd.,INE006I01046,EQ,NSE,ASTRAL,NIFTY500,,,,YES,ASTRAL.NS,,1
